user_id,item_id
0,893
0,558
0,555
0,239
0,1862
0,1363
0,156
0,150
0,695
0,1766
1,523
1,305
1,388
1,483
1,984
1,541
1,2031
1,361
1,1253
1,1523
2,1134
2,834
2,95
2,494
2,1096
2,2143
2,476
2,406
2,1654
2,1737
3,1517
3,149
3,1744
3,439
3,1930
3,2034
3,2129
3,1165
3,1157
3,1975
4,291
4,16
4,925
4,694
4,2002
4,514
4,819
4,452
4,65
4,1438
5,674
5,193
5,1379
5,902
5,471
5,1204
5,1633
5,148
5,1106
5,687
6,1279
6,821
6,1775
6,164
6,572
6,1951
6,1283
6,844
6,1776
6,179
7,196
7,749
7,506
7,1434
7,988
7,753
7,498
7,862
7,1685
7,241
8,172
8,374
8,203
8,1761
8,184
8,700
8,891
8,1698
8,1294
8,2027
9,844
9,1232
9,1323
9,538
9,2169
9,78
9,1948
9,315
9,1357
9,476
10,790
10,79
10,1678
10,400
10,1231
10,172
10,846
10,1844
10,37
10,2089
11,1562
11,1561
11,1608
11,725
11,1592
11,1457
11,758
11,1883
11,1817
11,1534
12,1529
12,1098
12,2005
12,778
12,1292
12,87
12,465
12,1210
12,2006
12,1162
13,48
13,674
13,1793
13,959
13,5
13,881
13,689
13,1095
13,132
13,1669
14,1622
14,1317
14,33
14,1762
14,780
14,79
14,455
14,1520
14,1861
14,595
15,756
15,1217
15,496
15,92
15,556
15,1703
15,1451
15,324
15,1530
15,332
16,971
16,1544
16,610
16,1543
16,1487
16,334
16,830
16,1798
16,1691
16,527
17,1199
17,1518
17,83
17,1082
17,291
17,1833
17,528
17,745
17,774
17,1356
18,311
18,1874
18,943
18,741
18,512
18,161
18,502
18,2063
18,185
18,767
19,984
19,1136
19,758
19,335
19,278
19,717
19,1687
19,1542
19,1589
19,1856
20,1613
20,1055
20,1794
20,315
20,172
20,169
20,175
20,636
20,1031
20,1531
21,328
21,1411
21,1362
21,822
21,1565
21,890
21,623
21,819
21,133
21,1670
22,325
22,1064
22,37
22,1478
22,490
22,1351
22,1598
22,1037
22,444
22,1625
23,984
23,773
23,1464
23,495
23,1739
23,260
23,79
23,324
23,351
23,1378
24,148
24,1466
24,244
24,1352
24,381
24,1357
24,455
24,891
24,1279
24,351
25,567
25,282
25,1342
25,354
25,508
25,815
25,1568
25,1454
25,1486
25,656
26,834
26,1019
26,1487
26,601
26,872
26,1992
26,1543
26,1172
26,1329
26,1388
27,406
27,657
27,1879
27,1295
27,1127
27,876
27,470
27,2031
27,14
27,65
28,1013
28,471
28,647
28,1471
28,144
28,506
28,1850
28,2101
28,1699
28,1361
29,132
29,729
29,103
29,401
29,255
29,226
29,521
29,1512
29,445
29,868
30,1013
30,29
30,196
30,571
30,514
30,570
30,71
30,663
30,659
30,1841
31,1590
31,848
31,217
31,759
31,1588
